ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
GO:0003779	actin binding	51/701	437/18352	1.18039045778525e-12	9.5729666126384e-10	8.17575706550207e-10	SPTBN1/ARPC1B/SHROOM4/TPM3/PDLIM1/UTRN/TMSB4X/GSN/RAI14/MYO6/TMSB10/FLNB/MYH9/TMOD3/LIMA1/PLEC/SSH2/MYO1C/MSN/TLNRD1/RDX/MTSS1/SSH1/HIP1/PHACTR2/COBLL1/HOMER2/SYNE2/MYO1E/ACTN4/GBP1/ACTR2/PHACTR4/ACTN1/STK38L/SMTN/YWHAH/PDLIM5/LIMCH1/ENAH/VCL/TPM4/PLS3/SHROOM1/FLNA/SNTB2/MYRIP/SYNE1/CTNNAL1/ABL2/MYO1B	51	SPTBN1/ARPC1B/SHROOM4/TPM3/PDLIM1/UTRN/TMSB4X/GSN/RAI14/MYO6/TMSB10/FLNB/MYH9/TMOD3/LIMA1/PLEC/SSH2/MYO1C/MSN/TLNRD1/RDX/MTSS1/SSH1/HIP1/PHACTR2/COBLL1/HOMER2/SYNE2/MYO1E/ACTN4/GBP1/ACTR2/PHACTR4/ACTN1/STK38L/SMTN/YWHAH/PDLIM5/LIMCH1/ENAH/VCL/TPM4/PLS3/SHROOM1/FLNA/SNTB2/MYRIP/SYNE1/CTNNAL1/ABL2/MYO1B
GO:0045296	cadherin binding	40/701	332/18352	1.29760419295805e-10	5.26178500244489e-08	4.4938082050863e-08	EHD4/ITGA6/SPTBN1/PDLIM1/DOCK9/SWAP70/TAGLN2/LRRFIP1/TJP1/FLNB/F11R/MYH9/PTPRM/ASAP1/TMOD3/LIMA1/BMPR2/PLEC/FNBP1L/EFHD2/AHNAK/S100A11/RDX/COBLL1/ERC1/ANXA1/ARHGAP18/CD2AP/PHLDB2/PDLIM5/TJP2/VCL/STAT1/PKP4/FLNA/HSPA1A/ZC3HAV1/CTNNAL1/MYO1B/BAG3	40	EHD4/ITGA6/SPTBN1/PDLIM1/DOCK9/SWAP70/TAGLN2/LRRFIP1/TJP1/FLNB/F11R/MYH9/PTPRM/ASAP1/TMOD3/LIMA1/BMPR2/PLEC/FNBP1L/EFHD2/AHNAK/S100A11/RDX/COBLL1/ERC1/ANXA1/ARHGAP18/CD2AP/PHLDB2/PDLIM5/TJP2/VCL/STAT1/PKP4/FLNA/HSPA1A/ZC3HAV1/CTNNAL1/MYO1B/BAG3
GO:0042605	peptide antigen binding	12/701	31/18352	6.36316886314508e-10	1.72017664933689e-07	1.4691105655963e-07	HLA-E/HLA-B/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/TAPBP/HLA-F/HLA-DRB1/TAP1	12	HLA-E/HLA-B/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/TAPBP/HLA-F/HLA-DRB1/TAP1
GO:0005178	integrin binding	24/701	144/18352	1.11849383443529e-09	2.26774624931755e-07	1.93676037646953e-07	ADAM15/UTRN/JAM2/F11R/MYH9/NPNT/ISG15/PXN/TGFBI/FN1/LAMA5/CXCL12/VCAM1/ACTN4/ADAM10/ACTN1/FBLN5/TNXB/ICAM1/ITGA5/FGF2/CD9/PLPP3/ICAM4	24	ADAM15/UTRN/JAM2/F11R/MYH9/NPNT/ISG15/PXN/TGFBI/FN1/LAMA5/CXCL12/VCAM1/ACTN4/ADAM10/ACTN1/FBLN5/TNXB/ICAM1/ITGA5/FGF2/CD9/PLPP3/ICAM4
GO:0019838	growth factor binding	22/701	136/18352	9.7589941210849e-09	1.58290884643997e-06	1.35187750140502e-06	A2M/FLT1/HYAL2/ITGA6/TGFBR2/TEK/LIFR/IGFBP7/BMPR2/CD36/DUSP1/ENG/COL4A1/IL1R1/NRP1/SORT1/CRIM1/IL6ST/OSMR/IGFBP4/IGFBP2/INSR	22	A2M/FLT1/HYAL2/ITGA6/TGFBR2/TEK/LIFR/IGFBP7/BMPR2/CD36/DUSP1/ENG/COL4A1/IL1R1/NRP1/SORT1/CRIM1/IL6ST/OSMR/IGFBP4/IGFBP2/INSR
GO:0042277	peptide binding	33/701	308/18352	9.70629414418075e-08	1.3119674251551e-05	1.12048097313525e-05	HLA-E/HLA-B/CD74/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/MGST2/NPR1/CALCRL/RAMP2/HSPG2/EPHA4/HLA-DPB1/LEPR/HLA-DPA1/FZD4/CD36/TAPBP/HLA-F/PPIC/HLA-DRB1/TAP1/TPP1/LDLR/ITM2A/NPR3/PPP3CA/NFKBIA/APOA1/PCSK5/INSR/CLU	33	HLA-E/HLA-B/CD74/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/MGST2/NPR1/CALCRL/RAMP2/HSPG2/EPHA4/HLA-DPB1/LEPR/HLA-DPA1/FZD4/CD36/TAPBP/HLA-F/PPIC/HLA-DRB1/TAP1/TPP1/LDLR/ITM2A/NPR3/PPP3CA/NFKBIA/APOA1/PCSK5/INSR/CLU
GO:0019955	cytokine binding	19/701	135/18352	9.18367152458482e-07	0.00010639939437769	9.08700129801025e-05	A2M/HYAL2/CD74/TGFBR2/LIFR/LEPR/IFNGR1/FZD4/BMPR2/CD36/ENG/IL1R1/NRP1/TNFRSF1B/GBP1/IL6ST/OSMR/FGF2/ZFP36	19	A2M/HYAL2/CD74/TGFBR2/LIFR/LEPR/IFNGR1/FZD4/BMPR2/CD36/ENG/IL1R1/NRP1/TNFRSF1B/GBP1/IL6ST/OSMR/FGF2/ZFP36
GO:0017124	SH3 domain binding	18/701	131/18352	2.51766241941781e-06	0.000255228027768481	0.000217976562102226	AFAP1L1/INPP5D/ADAM15/FUT8/PTPN12/ARHGAP31/SOS1/PLSCR4/QKI/DOCK4/ADAM10/CD2AP/DPYSL3/ENAH/SH3BP5/SIRPA/ELMO1/SYNJ2	18	AFAP1L1/INPP5D/ADAM15/FUT8/PTPN12/ARHGAP31/SOS1/PLSCR4/QKI/DOCK4/ADAM10/CD2AP/DPYSL3/ENAH/SH3BP5/SIRPA/ELMO1/SYNJ2
GO:0017048	Rho GTPase binding	20/701	162/18352	3.84990653794198e-06	0.000339537000689087	0.000289980331563916	CAV1/PREX2/TIAM1/CDC42EP3/ARHGEF3/TNFAIP1/SOS1/ROCK2/KALRN/DOCK4/CDC42EP5/SRGAP2B/FLNA/ROCK1/PLEKHG1/ARHGEF12/PREX1/ARHGDIB/SRGAP2C/ELMO1	20	CAV1/PREX2/TIAM1/CDC42EP3/ARHGEF3/TNFAIP1/SOS1/ROCK2/KALRN/DOCK4/CDC42EP5/SRGAP2B/FLNA/ROCK1/PLEKHG1/ARHGEF12/PREX1/ARHGDIB/SRGAP2C/ELMO1
GO:0051015	actin filament binding	23/701	206/18352	4.21766613995205e-06	0.000339537000689087	0.000289980331563916	ARPC1B/SHROOM4/TPM3/UTRN/GSN/MYO6/MYH9/LIMA1/MYO1C/HIP1/SYNE2/MYO1E/ACTN4/ACTR2/ACTN1/TPM4/PLS3/SHROOM1/FLNA/SYNE1/CTNNAL1/ABL2/MYO1B	23	ARPC1B/SHROOM4/TPM3/UTRN/GSN/MYO6/MYH9/LIMA1/MYO1C/HIP1/SYNE2/MYO1E/ACTN4/ACTR2/ACTN1/TPM4/PLS3/SHROOM1/FLNA/SYNE1/CTNNAL1/ABL2/MYO1B
