ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	51/358	200/4383	2.5869388961576e-14	1.2934694480788e-12	8.71389943968876e-13	182/5791/10365/1942/2114/8837/10769/1843/595/7128/1326/7127/64135/2920/1316/6890/6303/330/1839/1435/6515/3572/3949/9021/10725/1647/10611/23586/1847/8553/9592/490/3383/8870/1844/4792/1827/8848/9314/9334/8613/7538/2353/3433/388/3280/2643/694/6446/6648/3569	51	JAG1/PTPRE/KLF2/EFNA1/ETS2/CFLAR/PLK2/DUSP1/CCND1/TNFAIP3/MAP3K8/TNFAIP2/IFIH1/CXCL2/KLF6/TAP1/SAT1/BIRC3/HBEGF/CSF1/SLC2A3/IL6ST/LDLR/SOCS3/NFAT5/GADD45A/PDLIM5/DDX58/DUSP5/BHLHE40/IER2/ATP2B1/ICAM1/IER3/DUSP2/NFKBIA/RCAN1/TSC22D1/KLF4/B4GALT5/PLPP3/ZFP36/FOS/IFIT2/RHOB/HES1/GCH1/BTG1/SGK1/SOD2/IL6
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	47/358	200/4383	7.50908887018839e-12	1.8772722175471e-10	1.2646886518212e-10	3429/3106/972/567/3105/10628/51056/10964/8743/10410/54739/9636/57162/6892/10124/54625/7128/57674/115361/3123/4599/10581/7127/64135/6890/7412/3455/9021/5696/4502/23586/219285/6772/3091/3383/4860/10875/4792/5698/91543/10561/3437/3433/2643/694/6648/3569	47	IFI27/HLA-B/CD74/B2M/HLA-A/TXNIP/LAP3/IFI44L/TNFSF10/IFITM3/XAF1/ISG15/PELI1/TAPBP/ARL4A/PARP14/TNFAIP3/RNF213/GBP4/HLA-DRB1/MX1/IFITM2/TNFAIP2/IFIH1/TAP1/VCAM1/IFNAR2/SOCS3/PSMB8/MT2A/DDX58/SAMD9L/STAT1/HIF1A/ICAM1/PNP/FGL2/NFKBIA/PSMB9/RSAD2/IFI44/IFIT3/IFIT2/GCH1/BTG1/SOD2/IL6
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	28/358	97/4383	1.21793341052637e-09	2.02988901754395e-08	1.36750418024013e-08	3429/972/567/3107/10628/51056/10964/10410/9636/1997/54625/115361/4599/10581/64135/6890/1435/5696/10161/219285/135112/5698/91543/10561/54809/3437/3433/10544	28	IFI27/CD74/B2M/HLA-C/TXNIP/LAP3/IFI44L/IFITM3/ISG15/ELF1/PARP14/GBP4/MX1/IFITM2/IFIH1/TAP1/CSF1/PSMB8/LPAR6/SAMD9L/NCOA7/PSMB9/RSAD2/IFI44/SAMD9/IFIT3/IFIT2/PROCR
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	36/358	161/4383	1.09963306694602e-08	1.37454133368252e-07	9.26006793217699e-08	7078/4739/2012/10628/857/2934/8743/3459/10410/351/8837/595/2149/706/8682/6890/6303/331/330/8915/598/301/4000/1647/8870/6093/6574/3315/4092/633/388/2643/5327/6648/1191/3569	36	TIMP3/NEDD9/EMP1/TXNIP/CAV1/GSN/TNFSF10/IFNGR1/IFITM3/APP/CFLAR/CCND1/F2R/TSPO/PEA15/TAP1/SAT1/XIAP/BIRC3/BCL10/BCL2L1/ANXA1/LMNA/GADD45A/IER3/ROCK1/SLC20A1/HSPB1/SMAD7/BGN/RHOB/GCH1/PLAT/SOD2/CLU/IL6
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	37/358	199/4383	1.05991338964447e-06	1.05991338964447e-05	7.14046915128905e-06	3655/2012/5583/8835/23075/7074/8743/3459/10410/659/5339/4641/10124/79026/28996/115361/1326/8829/8611/1316/4643/7133/598/1435/6515/5243/9249/9144/8553/64116/23208/4860/64332/10875/123/388/1522	37	ITGA6/EMP1/PRKCH/SOCS2/SWAP70/TIAM1/TNFSF10/IFNGR1/IFITM3/BMPR2/PLEC/MYO1C/ARL4A/AHNAK/HIPK2/GBP4/MAP3K8/NRP1/PLPP1/KLF6/MYO1E/TNFRSF1B/BCL2L1/CSF1/SLC2A3/ABCB1/DHRS3/SYNGR2/BHLHE40/SLC39A8/SYT11/PNP/NFKBIZ/FGL2/PLIN2/RHOB/CTSZ
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	29/358	144/4383	3.18880787663817e-06	2.65733989719847e-05	1.79020793074424e-05	8503/7048/857/7082/5797/8476/1843/4781/5332/10395/8829/8997/3397/1601/6541/3949/10516/10611/3638/8553/490/4493/2908/2534/4092/8613/23345/8871/390	29	PIK3R3/TGFBR2/CAV1/TJP1/PTPRM/CDC42BPA/DUSP1/NFIB/PLCB4/DLC1/NRP1/KALRN/ID1/DAB2/SLC7A1/LDLR/FBLN5/PDLIM5/INSIG1/BHLHE40/ATP2B1/MT1E/NR3C1/FYN/SMAD7/PLPP3/SYNE1/SYNJ2/RND3
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	33/358	199/4383	5.07482394123614e-05	0.00036248742437401	0.000244202054315123	4739/6711/9411/7074/2934/2317/9771/4627/50650/8476/8470/85464/5829/6654/9462/9732/6249/4643/81/23607/7277/23012/51199/10611/7414/134549/2316/6093/8874/23365/57580/10051/324	33	NEDD9/SPTBN1/ARHGAP29/TIAM1/GSN/FLNB/RAPGEF5/MYH9/ARHGEF3/CDC42BPA/SORBS2/SSH2/PXN/SOS1/RASAL2/DOCK4/CLIP1/MYO1E/ACTN4/CD2AP/TUBA4A/STK38L/NIN/PDLIM5/VCL/SHROOM1/FLNA/ROCK1/ARHGEF7/ARHGEF12/PREX1/SMC4/APC
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	13/358	54/4383	0.000292106638772734	0.00182566649232959	0.00122992268956941	6711/7082/659/25937/2022/4086/28996/3397/331/6574/324/4092/3399	13	SPTBN1/TJP1/BMPR2/WWTR1/ENG/SMAD1/HIPK2/ID1/XIAP/SLC20A1/APC/SMAD7/ID3
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	19/358	100/4383	0.000366897436767842	0.00203831909315468	0.00137318338907263	567/3977/10627/10257/595/6197/9455/1021/8611/6303/2181/2185/87/10611/3638/8848/9510/6446/1836	19	B2M/LIFR/MYL12A/ABCC4/CCND1/RPS6KA3/HOMER2/CDK6/PLPP1/SAT1/ACSL3/PTK2B/ACTN1/PDLIM5/INSIG1/TSC22D1/ADAMTS1/SGK1/SLC26A2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	28/358	200/4383	0.00296138378103821	0.0148069189051911	0.00997518747297083	7078/966/4256/7424/2006/4837/1282/7128/7045/2335/6387/7412/6303/1601/10516/1809/1647/7171/6678/3678/2316/2247/3487/3485/633/388/4487/3569	28	TIMP3/CD59/MGP/VEGFC/ELN/NNMT/COL4A1/TNFAIP3/TGFBI/FN1/CXCL12/VCAM1/SAT1/DAB2/FBLN5/DPYSL3/GADD45A/TPM4/SPARC/ITGA5/FLNA/FGF2/IGFBP4/IGFBP2/BGN/RHOB/MSX1/IL6
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	23/358	158/4383	0.00420584612910666	0.0191174824050303	0.0128791460412836	8692/3134/2920/6890/4245/3572/7277/5243/5873/3383/27161/4792/9188/10439/3485/2353/388/2643/694/5504/6648/4487/3569	23	HYAL2/HLA-F/CXCL2/TAP1/MGAT1/IL6ST/TUBA4A/ABCB1/RAB27A/ICAM1/AGO2/NFKBIA/DDX21/OLFM1/IGFBP2/FOS/RHOB/GCH1/BTG1/PPP1R2/SOD2/MSX1/IL6
