ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	geneSymbol
hsa04810	Regulation of actin cytoskeleton	34/368	218/8098	1.78733468057824e-10	5.00453710561908e-08	3.17957432650235e-08	8503/3655/10095/7114/7074/2934/4627/10627/3680/85464/4478/5829/3672/5962/54434/2335/6654/2149/6237/9475/6387/81/10097/87/55740/10672/7414/3678/2247/6093/8874/23365/3845/324	34	PIK3R3/ITGA6/ARPC1B/TMSB4X/TIAM1/GSN/MYH9/MYL12A/ITGA9/SSH2/MSN/PXN/ITGA1/RDX/SSH1/FN1/SOS1/F2R/RRAS/ROCK2/CXCL12/ACTN4/ACTR2/ACTN1/ENAH/GNA13/VCL/ITGA5/FGF2/ROCK1/ARHGEF7/ARHGEF12/KRAS/APC
hsa05167	Kaposi sarcoma-associated herpesvirus infection	30/368	194/8098	2.74357291663931e-09	3.84100208329504e-07	2.44033591006339e-07	3133/3106/8503/2791/3107/3105/3459/801/3709/595/5925/3134/1021/2920/3455/7316/3572/6772/3091/3383/5530/4792/1827/2247/57580/3845/81631/7538/2353/3569	30	HLA-E/HLA-B/PIK3R3/GNG11/HLA-C/HLA-A/IFNGR1/CALM1/ITPR2/CCND1/RB1/HLA-F/CDK6/CXCL2/IFNAR2/UBC/IL6ST/STAT1/HIF1A/ICAM1/PPP3CA/NFKBIA/RCAN1/FGF2/PREX1/KRAS/MAP1LC3B/ZFP36/FOS/IL6
hsa05416	Viral myocarditis	16/368	60/8098	5.73054588386949e-09	5.09838964986699e-07	3.23920244672001e-07	3133/3106/3107/3105/3127/3122/857/3115/3113/595/3134/3123/8672/3383/2534/27	16	HLA-E/HLA-B/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/CAV1/HLA-DPB1/HLA-DPA1/CCND1/HLA-F/HLA-DRB1/EIF4G3/ICAM1/FYN/ABL2
hsa05169	Epstein-Barr virus infection	30/368	202/8098	7.28341378552428e-09	5.09838964986699e-07	3.23920244672001e-07	3133/3106/8503/567/3107/3105/3127/3122/3115/953/3113/9636/6892/595/5925/7128/3134/3123/1021/6890/3455/1647/23586/51426/6772/3383/4792/3280/3569/9541	30	HLA-E/HLA-B/PIK3R3/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/ENTPD1/HLA-DPA1/ISG15/TAPBP/CCND1/RB1/TNFAIP3/HLA-F/HLA-DRB1/CDK6/TAP1/IFNAR2/GADD45A/DDX58/POLK/STAT1/ICAM1/NFKBIA/HES1/IL6/CIR1
hsa05166	Human T-cell leukemia virus 1 infection	31/368	222/8098	1.81590632107084e-08	1.01690753979967e-06	6.46080354233624e-07	3133/3106/8503/567/3107/3105/3127/7048/3122/3115/3113/9586/2113/2114/595/5925/3134/3123/3554/706/8829/331/598/3383/5530/4792/3845/7538/2353/4487/3569	31	HLA-E/HLA-B/PIK3R3/B2M/HLA-C/HLA-A/HLA-DRB5/TGFBR2/HLA-DRA/HLA-DPB1/HLA-DPA1/CREB5/ETS1/ETS2/CCND1/RB1/HLA-F/HLA-DRB1/IL1R1/TSPO/NRP1/XIAP/BCL2L1/ICAM1/PPP3CA/NFKBIA/KRAS/ZFP36/FOS/MSX1/IL6
hsa05163	Human cytomegalovirus infection	31/368	225/8098	2.50410627305591e-08	1.01965644150346e-06	6.47826836895054e-07	3133/3106/8503/2791/567/3107/3105/23236/801/9586/6892/5829/3709/595/5925/5332/3134/6654/9475/3554/6387/1021/6890/2185/10672/5530/4792/6093/23365/3845/3569	31	HLA-E/HLA-B/PIK3R3/GNG11/B2M/HLA-C/HLA-A/PLCB1/CALM1/CREB5/TAPBP/PXN/ITPR2/CCND1/RB1/PLCB4/HLA-F/SOS1/ROCK2/IL1R1/CXCL12/CDK6/TAP1/PTK2B/GNA13/PPP3CA/NFKBIA/ROCK1/ARHGEF12/KRAS/IL6
hsa04510	Focal adhesion	29/368	201/8098	2.54914110375864e-08	1.01965644150346e-06	6.47826836895054e-07	2321/8503/3655/857/7424/2317/10627/3680/5829/1282/824/3672/595/2335/1286/6654/3911/9475/81/858/331/330/87/7148/7414/3678/2534/2316/6093	29	FLT1/PIK3R3/ITGA6/CAV1/VEGFC/FLNB/MYL12A/ITGA9/PXN/COL4A1/CAPN2/ITGA1/CCND1/FN1/COL4A4/SOS1/LAMA5/ROCK2/ACTN4/CAV2/XIAP/BIRC3/ACTN1/TNXB/VCL/ITGA5/FYN/FLNA/ROCK1
hsa04612	Antigen processing and presentation	16/368	78/8098	3.10779541268399e-07	1.0877283944394e-05	6.91075558873151e-06	3133/3106/972/567/3107/3105/3127/3122/3115/3113/1520/6892/3134/3123/6890/3303	16	HLA-E/HLA-B/CD74/B2M/HLA-C/HLA-A/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1/CTSS/TAPBP/HLA-F/HLA-DRB1/TAP1/HSPA1A
hsa04530	Tight junction	24/368	169/8098	5.70263913796812e-07	1.77415439847897e-05	1.12718832083814e-05	7122/10095/7074/58494/7082/50848/4627/10627/4478/595/5962/24146/9475/9693/81/10097/87/7277/9414/9223/4637/6093/84952/84790	24	CLDN5/ARPC1B/TIAM1/JAM2/TJP1/F11R/MYH9/MYL12A/MSN/CCND1/RDX/CLDN15/ROCK2/RAPGEF2/ACTN4/ACTR2/ACTN1/TUBA4A/TJP2/MAGI1/MYL6/ROCK1/CGNL1/TUBA1C
hsa04670	Leukocyte transendothelial migration	19/368	114/8098	7.47539998467668e-07	2.09311199570947e-05	1.32983431306354e-05	5175/7122/8503/58494/50848/10627/4478/5829/24146/9475/10411/6387/7412/81/2185/87/7414/3383/6093	19	PECAM1/CLDN5/PIK3R3/JAM2/F11R/MYL12A/MSN/PXN/CLDN15/ROCK2/RAPGEF3/CXCL12/VCAM1/ACTN4/PTK2B/ACTN1/VCL/ICAM1/ROCK1
